; 11/28/95		14:29:18
	db	025			; defence ratio
	db	095			; quick ratio
	db	045			; special ability
	db	JIMEN_TYPE
	db	JIMEN_TYPE
	db	255			; obtain ratio
	db	081			; experience value
	db	055h			; Monster yx size
	dw	monschr59		; BitImage data (front)
	dw	monschr59b		; BitImage data (back)
	db	010			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10100000b, 00000011b, 00001000b, 11001110b
	db	00000010b, 10001000b, 00000010b, 00000000b

mons051$:
	db	051			; old number = 118
	db	035			; hit point(max)
	db	080			; attack point
	db	050			; defence ratio
	db	120			; quick ratio
	db	070			; special ability
	db	JIMEN_TYPE
	db	JIMEN_TYPE
	db	050			; obtain ratio
	db	153			; experience value
	db	066h			; Monster yx size
	dw	monschr118		; BitImage data (front)
	dw	monschr118b		; BitImage data (back)
	db	010			; skill 1
	db	045			; skill 2
	db	091			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10100000b, 01000011b, 00001000b, 11001110b
	db	00000010b, 10001000b, 00000010b, 00000000b

mons052$:
	db	052			; old number = 077
	db	040			; hit point(max)
	db	045			; attack point
	db	035			; defence ratio
	db	090			; quick ratio
	db	040			; special ability
	db	000
	db	000
	db	255			; obtain ratio
	db	069			; experience value
	db	055h			; Monster yx size
	dw	monschr77		; BitImage data (front)
	dw	monschr77b		; BitImage data (back)
	db	010			; skill 1
	db	045			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10100000b, 10001111b, 10001000b, 11000001b
	db	11000010b, 00001000b, 00000010b, 00000000b

mons053$:
	db	053			; old number = 144
	db	065			; hit point(max)
	db	070			; attack point
	db	060			; defence ratio
	db	115			; quick ratio
	db	065			; special ability
	db	000
	db	000
	db	090			; obtain ratio
	db	148			; experience value
	db	077h			; Monster yx size
	dw	monschr144		; BitImage data (front)
	dw	monschr144b		; BitImage data (back)
	db	010			; skill 1
	db	045			; skill 2
	db	044			; skill 3
	db	103			; skill 4
	db	000			; pttern of experience
	db	10100000b, 11001111b, 10001000b, 11000001b
	db	11000010b, 00001000b, 00000010b, 00000000b

mons054$:
	db	054			; old number = 047
	db	050			; hit point(max)
	db	052			; attack point
	db	048			; defence ratio
	db	055			; quick ratio
	db	050			; special ability
	db	WATER_TYPE
	db	WATER_TYPE
	db	190			; obtain ratio
	db	080			; experience value
	db	055h			; Monster yx size
	dw	monschr47		; BitImage data (front)
	dw	monschr47b		; BitImage data (back)
	db	010			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10110001b, 10111111b, 00001111b, 11001000b
	db	11000010b, 00001000b, 00110010b, 00000000b

mons055$:
	db	055			; old number = 128
	db	080			; hit point(max)
	db	082			; attack point
	db	078			; defence ratio
	db	085			; quick ratio
	db	080			; special ability
	db	WATER_TYPE
	db	WATER_TYPE
	db	075			; obtain ratio
	db	174			; experience value
	db	077h			; Monster yx size
	dw	monschr128		; BitImage data (front)
	dw	monschr128b		; BitImage data (back)
	db	010			; skill 1
	db	039			; skill 2
	db	050			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10110001b, 11111111b, 00001111b, 11001000b
	db	11000010b, 00001000b, 00110010b, 00000000b

mons056$:
	db	056			; old number = 057
	db	040			; hit point(max)
	db	080			; attack point
	db	035			; defence ratio
	db	070			; quick ratio
	db	035			; special ability
	db	BATTLE_TYPE
	db	BATTLE_TYPE
	db	190			; obtain ratio
	db	074			; experience value
	db	055h			; Monster yx size
	dw	monschr57		; BitImage data (front)
	dw	monschr57b		; BitImage data (back)
	db	010			; skill 1
	db	043			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10110001b, 10000011b, 10001111b, 11001001b
	db	11000110b, 10001000b, 00100010b, 00000000b

mons057$:
	db	057			; old number = 117
	db	065			; hit point(max)
	db	105			; attack point
	db	060			; defence ratio
	db	095			; quick ratio
	db	060			; special ability
	db	BATTLE_TYPE
	db	BATTLE_TYPE
	db	075			; obtain ratio
	db	149			; experience value
	db	077h			; Monster yx size
	dw	monschr117		; BitImage data (front)
	dw	monschr117b		; BitImage data (back)
	db	010			; skill 1
	db	043			; skill 2
	db	002			; skill 3
	db	154			; skill 4
	db	000			; pttern of experience
	db	10110001b, 11000011b, 10001111b, 11001001b
	db	11000110b, 10001000b, 00100010b, 00000000b

mons058$:
	db	058			; old number = 033
	db	055			; hit point(max)
	db	070			; attack point
	db	045			; defence ratio
	db	060			; quick ratio
	db	050			; special ability
	db	FIRE_TYPE
	db	FIRE_TYPE
	db	190			; obtain ratio
	db	091			; experience value
	db	055h			; Monster yx size
	dw	monschr33		; BitImage data (front)
	dw	monschr33b		; BitImage data (back)
	db	044			; skill 1
	db	046			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	005			; pttern of experience
	db	10100000b, 00000011b, 01001000b, 11001000b
	db	11100011b, 00001000b, 00000010b, 00000000b

mons059$:
	db	059			; old number = 020
	db	090			; hit point(max)
	db	110			; attack point
	db	080			; defence ratio
	db	095			; quick ratio
	db	080			; special ability
	db	FIRE_TYPE
	db	FIRE_TYPE
	db	075			; obtain ratio
	db	213			; experience value
	db	077h			; Monster yx size
	dw	monschr20		; BitImage data (front)
	dw	monschr20b		; BitImage data (back)
	db	046			; skill 1
	db	052			; skill 2
	db	043			; skill 3
	db	036			; skill 4
	db	005			; pttern of experience
	db	10100000b, 01000011b, 01001000b, 11101000b
	db	11100011b, 00001000b, 00000010b, 00000000b

mons060$:
	db	060			; old number = 071
	db	040			; hit point(max)
	db	050			; attack point
	db	040			; defence ratio
	db	090			; quick ratio
	db	040			; special ability
	db	WATER_TYPE
	db	WATER_TYPE
	db	255			; obtain ratio
	db	077			; experience value
	db	055h			; Monster yx size
	dw	monschr71		; BitImage data (front)
	dw	monschr71b		; BitImage data (back)
	db	145			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	10100000b, 00111111b, 00001000b, 11010000b
	db	10000010b, 00101000b, 00010010b, 00000000b

mons061$:
	db	061			; old number = 110
	db	065			; hit point(max)
	db	065			; attack point
	db	065			; defence ratio
	db	090			; quick ratio
	db	050			; special ability
	db	WATER_TYPE
	db	WATER_TYPE
	db	120			; obtain ratio
	db	131			; experience value
	db	066h			; Monster yx size
	dw	monschr110		; BitImage data (front)
	dw	monschr110b		; BitImage data (back)
	db	145			; skill 1
	db	095			; skill 2
	db	055			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	10110001b, 00111111b, 00001111b, 11010110b
	db	10000110b, 00101000b, 00110010b, 00000000b

mons062$:
	db	062			; old number = 111
	db	090			; hit point(max)
	db	085			; attack point
	db	095			; defence ratio
	db	070			; quick ratio
	db	070			; special ability
	db	WATER_TYPE
	db	BATTLE_TYPE
	db	045			; obtain ratio
	db	185			; experience value
	db	077h			; Monster yx size
	dw	monschr111		; BitImage data (front)
	dw	monschr111b		; BitImage data (back)
	db	095			; skill 1
	db	055			; skill 2
	db	003			; skill 3
	db	034			; skill 4
	db	003			; pttern of experience
	db	10110001b, 01111111b, 00001111b, 11010110b
	db	10000110b, 00101000b, 00110010b, 00000000b

mons063$:
	db	063			; old number = 148
	db	025			; hit point(max)
	db	020			; attack point
	db	015			; defence ratio
	db	090			; quick ratio
	db	105			; special ability
	db	SP_TYPE
	db	SP_TYPE
	db	200			; obtain ratio
	db	073			; experience value
	db	055h			; Monster yx size
	dw	monschr148		; BitImage data (front)
	dw	monschr148b		; BitImage data (back)
	db	100			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	10110001b, 00000011b, 00001111b, 11110000b
	db	10000111b, 00111000b, 01000011b, 00000000b

mons064$:
	db	064			; old number = 038
	db	040			; hit point(max)
	db	035			; attack point
	db	030			; defence ratio
	db	105			; quick ratio
	db	120			; special ability
	db	SP_TYPE
	db	SP_TYPE
	db	100			; obtain ratio
	db	145			; experience value
	db	066h			; Monster yx size
	dw	monschr38		; BitImage data (front)
	dw	monschr38b		; BitImage data (back)
	db	100			; skill 1
	db	093			; skill 2
	db	050			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	10110001b, 00000011b, 00001111b, 11111000b
	db	10000111b, 00111000b, 01000011b, 00000000b

mons065$:
	db	065			; old number = 149
	db	055			; hit point(max)
	db	050			; attack point
	db	045			; defence ratio
	db	120			; quick ratio
	db	135			; special ability
	db	SP_TYPE
	db	SP_TYPE
	db	050			; obtain ratio
	db	186			; experience value
	db	077h			; Monster yx size
	dw	monschr149		; BitImage data (front)
	dw	monschr149b		; BitImage data (back)
	db	100			; skill 1
	db	093			; skill 2
	db	050			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	10110001b, 01000011b, 00001111b, 11111000b
	db	10000111b, 00111000b, 01000011b, 00000000b

mons066$:
	db	066			; old number = 106
	db	070			; hit point(max)
	db	080			; attack point
	db	050			; defence ratio
	db	035			; quick ratio
	db	035			; special ability
	db	BATTLE_TYPE
	db	BATTLE_TYPE
	db	180			; obtain ratio
	db	088			; experience value
	db	055h			; Monster yx size
	dw	monschr106		; BitImage data (front)
	dw	monschr106b		; BitImage data (back)
	db	002			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	10110001b, 00000011b, 00001111b, 11001110b
	db	10100110b, 10001000b, 00100010b, 00000000b

mons067$:
	db	067			; old number = 041
	db	080			; hit point(max)
	db	100			; attack point
	db	070			; defence ratio
	db	045			; quick ratio
	db	050			; special ability
	db	BATTLE_TYPE
	db	BATTLE_TYPE
	db	090			; obtain ratio
	db	146			; experience value
	db	077h			; Monster yx size
	dw	monschr41		; BitImage data (front)
	dw	monschr41b		; BitImage data (back)
	db	002			; skill 1
	db	067			; skill 2
	db	043			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	10110001b, 00000011b, 00001111b, 11001110b
	db	10100110b, 10001000b, 00100010b, 00000000b

mons068$:
	db	068			; old number = 126
	db	090			; hit point(max)
	db	130			; attack point
	db	080			; defence ratio
	db	055			; quick ratio
	db	065			; special ability
	db	BATTLE_TYPE
	db	BATTLE_TYPE
	db	045			; obtain ratio
	db	193			; experience value
	db	077h			; Monster yx size
	dw	monschr126		; BitImage data (front)
	dw	monschr126b		; BitImage data (back)
	db	002			; skill 1
	db	067			; skill 2
	db	043			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	10110001b, 01000011b, 00001111b, 11001110b
	db	10100110b, 10001000b, 00100010b, 00000000b

mons069$:
	db	069			; old number = 188
	db	050			; hit point(max)
	db	075			; attack point
	db	035			; defence ratio
	db	040			; quick ratio
	db	070			; special ability
	db	KUSA_TYPE
	db	POISON_TYPE
	db	255			; obtain ratio
	db	084			; experience value
	db	055h			; Monster yx size
	dw	monschr188		; BitImage data (front)
	dw	monschr188b		; BitImage data (back)
	db	022			; skill 1
	db	074			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	00100100b, 00000011b, 00111000b, 11000000b
	db	00000011b, 00001000b, 00000110b, 00000000b

mons070$:
	db	070			; old number = 189
	db	065			; hit point(max)
	db	090			; attack point
	db	050			; defence ratio
	db	055			; quick ratio
	db	085			; special ability
	db	KUSA_TYPE
	db	POISON_TYPE
	db	120			; obtain ratio
	db	151			; experience value
	db	066h			; Monster yx size
	dw	monschr189		; BitImage data (front)
	dw	monschr189b		; BitImage data (back)
	db	022			; skill 1
	db	074			; skill 2
	db	035			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	00100100b, 00000011b, 00111000b, 11000000b
	db	00000011b, 00001000b, 00000110b, 00000000b

mons071$:
	db	071			; old number = 190
	db	080			; hit point(max)
	db	105			; attack point
	db	065			; defence ratio
	db	070			; quick ratio
	db	100			; special ability
	db	KUSA_TYPE
	db	POISON_TYPE
	db	045			; obtain ratio
	db	191			; experience value
	db	077h			; Monster yx size
	dw	monschr190		; BitImage data (front)
	dw	monschr190b		; BitImage data (back)
	db	079			; skill 1
	db	078			; skill 2
	db	051			; skill 3
	db	075			; skill 4
	db	003			; pttern of experience
	db	10100100b, 01000011b, 00111000b, 11000000b
	db	00000011b, 00001000b, 00000110b, 00000000b

mons072$:
	db	072			; old number = 024
	db	040			; hit point(max)
	db	040			; attack point
	db	035			; defence ratio
	db	070			; quick ratio
	db	100			; special ability
	db	WATER_TYPE
	db	POISON_TYPE
	db	190			; obtain ratio
	db	105			; experience value
	db	055h			; Monster yx size
	dw	monschr24		; BitImage data (front)
	dw	monschr24b		; BitImage data (back)
	db	051			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	005			; pttern of experience
	db	00100100b, 00111111b, 00011000b, 11000000b
	db	10000011b, 00001000b, 00010110b, 00000000b

mons073$:
	db	073			; old number = 155
	db	080			; hit point(max)
	db	070			; attack point
	db	065			; defence ratio
	db	100			; quick ratio
	db	120			; special ability
	db	WATER_TYPE
	db	POISON_TYPE
	db	060			; obtain ratio
	db	205			; experience value
	db	066h			; Monster yx size
	dw	monschr155		; BitImage data (front)
	dw	monschr155b		; BitImage data (back)
	db	051			; skill 1
	db	048			; skill 2
	db	035			; skill 3
	db	000			; skill 4
	db	005			; pttern of experience
	db	00100100b, 01111111b, 00011000b, 11000000b
	db	10000011b, 00001000b, 00010110b, 00000000b

mons074$:
	db	074			; old number = 169
	db	040			; hit point(max)
	db	080			; attack point
	db	100			; defence ratio
	db	020			; quick ratio
	db	030			; special ability
	db	ISHI_TYPE
	db	JIMEN_TYPE
	db	255			; obtain ratio
	db	086			; experience value
	db	055h			; Monster yx size
	dw	monschr169		; BitImage data (front)
	dw	monschr169b		; BitImage data (back)
	db	033			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	10100001b, 00000011b, 00001111b, 11001110b
	db	00101110b, 11001000b, 00100010b, 00000000b

mons075$:
	db	075			; old number = 039
	db	055			; hit point(max)
	db	095			; attack point
	db	115			; defence ratio
	db	035			; quick ratio
	db	045			; special ability
	db	ISHI_TYPE
	db	JIMEN_TYPE
	db	120			; obtain ratio
	db	134			; experience value
	db	066h			; Monster yx size
	dw	monschr39		; BitImage data (front)
	dw	monschr39b		; BitImage data (back)
	db	033			; skill 1
	db	111			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	10100001b, 00000011b, 00001111b, 11001110b
	db	00101110b, 11001000b, 00100010b, 00000000b

mons076$:
	db	076			; old number = 049
	db	080			; hit point(max)
	db	110			; attack point
	db	130			; defence ratio
	db	045			; quick ratio
	db	055			; special ability
	db	ISHI_TYPE
	db	JIMEN_TYPE
	db	045			; obtain ratio
	db	177			; experience value
	db	066h			; Monster yx size
	dw	monschr49		; BitImage data (front)
	dw	monschr49b		; BitImage data (back)
	db	033			; skill 1
	db	111			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	10110001b, 01000011b, 00001111b, 11001110b
	db	00101110b, 11001000b, 00100010b, 00000000b

mons077$:
	db	077			; old number = 163
	db	050			; hit point(max)
	db	085			; attack point
	db	055			; defence ratio
	db	090			; quick ratio
	db	065			; special ability
	db	FIRE_TYPE
	db	FIRE_TYPE
	db	190			; obtain ratio
	db	152			; experience value
	db	066h			; Monster yx size
	dw	monschr163		; BitImage data (front)
	dw	monschr163b		; BitImage data (back)
	db	052			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	11100000b, 00000011b, 00001000b, 11000000b
	db	11100011b, 00001000b, 00000010b, 00000000b

mons078$:
	db	078			; old number = 164
	db	065			; hit point(max)
	db	100			; attack point
	db	070			; defence ratio
	db	105			; quick ratio
	db	080			; special ability
	db	FIRE_TYPE
	db	FIRE_TYPE
	db	060			; obtain ratio
	db	192			; experience value
	db	077h			; Monster yx size
	dw	monschr164		; BitImage data (front)
	dw	monschr164b		; BitImage data (back)
	db	052			; skill 1
	db	039			; skill 2
	db	023			; skill 3
	db	045			; skill 4
	db	000			; pttern of experience
	db	11100000b, 01000011b, 00001000b, 11000000b
	db	11100011b, 00001000b, 00000010b, 00000000b

mons079$:
	db	079			; old number = 037
	db	090			; hit point(max)
	db	065			; attack point
	db	065			; defence ratio
	db	015			; quick ratio
	db	040			; special ability
	db	WATER_TYPE
	db	SP_TYPE
	db	190			; obtain ratio
	db	099			; experience value
	db	055h			; Monster yx size
	dw	monschr37		; BitImage data (front)
	dw	monschr37b		; BitImage data (back)
	db	093			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10100000b, 10111111b, 00001000b, 11111110b
	db	11100011b, 00111000b, 01110011b, 00000000b

mons080$:
	db	080			; old number = 008
	db	095			; hit point(max)
	db	075			; attack point
	db	110			; defence ratio
	db	030			; quick ratio
	db	080			; special ability
	db	WATER_TYPE
	db	SP_TYPE
	db	075			; obtain ratio
	db	164			; experience value
	db	077h			; Monster yx size
	dw	monschr08		; BitImage data (front)
	dw	monschr08b		; BitImage data (back)
	db	093			; skill 1
	db	050			; skill 2
	db	029			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10110001b, 11111111b, 00001111b, 11111110b
	db	11100011b, 00111000b, 01110011b, 00000000b

mons081$:
	db	081			; old number = 173
	db	025			; hit point(max)
	db	035			; attack point
	db	070			; defence ratio
	db	045			; quick ratio
	db	095			; special ability
	db	THUNDER_TYPE
	db	THUNDER_TYPE
	db	190			; obtain ratio
	db	089			; experience value
	db	055h			; Monster yx size
	dw	monschr173		; BitImage data (front)
	dw	monschr173b		; BitImage data (back)
	db	033			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	00100000b, 00000011b, 10001000b, 11100001b
	db	01000011b, 00011000b, 01000010b, 00000000b

mons082$:
	db	082			; old number = 054
	db	050			; hit point(max)
	db	060			; attack point
	db	095			; defence ratio
	db	070			; quick ratio
	db	120			; special ability
	db	THUNDER_TYPE
	db	THUNDER_TYPE
	db	060			; obtain ratio
	db	161			; experience value
	db	066h			; Monster yx size
	dw	monschr54		; BitImage data (front)
	dw	monschr54b		; BitImage data (back)
	db	033			; skill 1
	db	049			; skill 2
	db	084			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	00100000b, 01000011b, 10001000b, 11100001b
	db	01000011b, 00011000b, 01000010b, 00000000b

mons083$:
	db	083			; old number = 064
	db	052			; hit point(max)
	db	065			; attack point
	db	055			; defence ratio
	db	060			; quick ratio
	db	058			; special ability
	db	000
	db	HIKOU_TYPE
	db	045			; obtain ratio
	db	094			; experience value
	db	066h			; Monster yx size
	dw	monschr64		; BitImage data (front)
	dw	monschr64b		; BitImage data (back)
	db	064			; skill 1
	db	028			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10101110b, 00000011b, 00001000b, 11000000b
	db	11000011b, 00001000b, 00001110b, 00000000b

mons084$:
	db	084			; old number = 070
	db	035			; hit point(max)
	db	085			; attack point
	db	045			; defence ratio
	db	075			; quick ratio
	db	035			; special ability
	db	000
	db	HIKOU_TYPE
	db	190			; obtain ratio
	db	096			; experience value
	db	055h			; Monster yx size
	dw	monschr70		; BitImage data (front)
	dw	monschr70b		; BitImage data (back)
	db	064			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10101000b, 00000011b, 00001000b, 11000000b
	db	10000011b, 00001100b, 00001011b, 00000000b

mons085$:
	db	085			; old number = 116
	db	060			; hit point(max)
	db	110			; attack point
	db	070			; defence ratio
	db	100			; quick ratio
	db	060			; special ability
	db	000
	db	HIKOU_TYPE
	db	045			; obtain ratio
	db	158			; experience value
	db	077h			; Monster yx size
	dw	monschr116		; BitImage data (front)
	dw	monschr116b		; BitImage data (back)
	db	064			; skill 1
	db	045			; skill 2
	db	031			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10101000b, 01000011b, 00001000b, 11000000b
	db	10000011b, 00001100b, 00001011b, 00000000b

mons086$:
	db	086			; old number = 058
	db	065			; hit point(max)
	db	045			; attack point
	db	055			; defence ratio
	db	045			; quick ratio
	db	070			; special ability
	db	WATER_TYPE
	db	WATER_TYPE
	db	190			; obtain ratio
	db	100			; experience value
	db	066h			; Monster yx size
	dw	monschr58		; BitImage data (front)
	dw	monschr58b		; BitImage data (back)
	db	029			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	11100000b, 10111111b, 00001000b, 11000000b
	db	10000010b, 00001000b, 00110010b, 00000000b

mons087$:
	db	087			; old number = 120
	db	090			; hit point(max)
	db	070			; attack point
	db	080			; defence ratio
	db	070			; quick ratio
	db	095			; special ability
	db	WATER_TYPE
	db	KOORI_TYPE
	db	075			; obtain ratio
	db	176			; experience value
	db	066h			; Monster yx size
	dw	monschr120		; BitImage data (front)
	dw	monschr120b		; BitImage data (back)
	db	029			; skill 1
	db	045			; skill 2
	db	062			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	11100000b, 11111111b, 00001000b, 11000000b
	db	10000010b, 00001000b, 00110010b, 00000000b

mons088$:
	db	088			; old number = 013
	db	080			; hit point(max)
	db	080			; attack point
	db	050			; defence ratio
	db	025			; quick ratio
	db	040			; special ability
	db	POISON_TYPE
	db	POISON_TYPE
	db	190			; obtain ratio
	db	090			; experience value
	db	055h			; Monster yx size
	dw	monschr13		; BitImage data (front)
	dw	monschr13b		; BitImage data (back)
	db	001			; skill 1
	db	050			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10100000b, 00000000b, 10011000b, 11000001b
	db	00101010b, 01001000b, 00000010b, 00000000b

mons089$:
	db	089			; old number = 136
	db	105			; hit point(max)
	db	105			; attack point
	db	075			; defence ratio
	db	050			; quick ratio
	db	065			; special ability
	db	POISON_TYPE
	db	POISON_TYPE
	db	075			; obtain ratio
	db	157			; experience value
	db	077h			; Monster yx size
	dw	monschr136		; BitImage data (front)
	dw	monschr136b		; BitImage data (back)
	db	001			; skill 1
	db	050			; skill 2
	db	139			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10100000b, 01000000b, 10011000b, 11000001b
	db	00101010b, 01001000b, 00000010b, 00000000b

mons090$:
	db	090			; old number = 023
	db	030			; hit point(max)
	db	065			; attack point
	db	100			; defence ratio
	db	040			; quick ratio
	db	045			; special ability
	db	WATER_TYPE
	db	WATER_TYPE
	db	190			; obtain ratio
	db	097			; experience value
	db	055h			; Monster yx size
	dw	monschr23		; BitImage data (front)
	dw	monschr23b		; BitImage data (back)
	db	033			; skill 1
	db	110			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	005			; pttern of experience
	db	00100000b, 00111111b, 00001000b, 11100000b
	db	01001011b, 01001000b, 00010011b, 00000000b

mons091$:
	db	091			; old number = 139
	db	050			; hit point(max)
	db	095			; attack point
	db	180			; defence ratio
	db	070			; quick ratio
	db	085			; special ability
	db	WATER_TYPE
	db	KOORI_TYPE
	db	060			; obtain ratio
	db	203			; experience value
	db	077h			; Monster yx size
	dw	monschr139		; BitImage data (front)
	dw	monschr139b		; BitImage data (back)
	db	110			; skill 1
	db	048			; skill 2
	db	128			; skill 3
	db	062			; skill 4
	db	005			; pttern of experience
	db	00100000b, 01111111b, 00001000b, 11100000b
	db	01001011b, 01001000b, 00010011b, 00000000b

mons092$:
	db	092			; old number = 025
	db	030			; hit point(max)
	db	035			; attack point
	db	030			; defence ratio
	db	080			; quick ratio
	db	100			; special ability
	db	GHOST_TYPE
	db	POISON_TYPE
	db	190			; obtain ratio
	db	095			; experience value
	db	077h			; Monster yx size
	dw	monschr25		; BitImage data (front)
	dw	monschr25b		; BitImage data (back)
	db	122			; skill 1
	db	109			; skill 2
	db	101			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	00100000b, 00000000b, 10011000b, 11010001b
	db	00001010b, 01101010b, 00000010b, 00000000b

mons093$:
	db	093			; old number = 147
	db	045			; hit point(max)
	db	050			; attack point
	db	045			; defence ratio
	db	095			; quick ratio
	db	115			; special ability
	db	GHOST_TYPE
	db	POISON_TYPE
	db	090			; obtain ratio
	db	126			; experience value
	db	066h			; Monster yx size
	dw	monschr147		; BitImage data (front)
	dw	monschr147b		; BitImage data (back)
	db	122			; skill 1
	db	109			; skill 2
	db	101			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	00100000b, 00000000b, 10011000b, 11010001b
	db	00001010b, 01101010b, 00000010b, 00000000b

mons094$:
	db	094			; old number = 014
	db	060			; hit point(max)
	db	065			; attack point
	db	060			; defence ratio
	db	110			; quick ratio
	db	130			; special ability
	db	GHOST_TYPE
	db	POISON_TYPE
	db	045			; obtain ratio
	db	190			; experience value
	db	066h			; Monster yx size
	dw	monschr14		; BitImage data (front)
	dw	monschr14b		; BitImage data (back)
	db	122			; skill 1
	db	109			; skill 2
	db	101			; skill 3
	db	000			; skill 4
	db	003			; pttern of experience
	db	10110001b, 01000011b, 10011111b, 11010001b
	db	10001110b, 01101010b, 00100010b, 00000000b

mons095$:
	db	095			; old number = 034
	db	035			; hit point(max)
	db	045			; attack point
	db	160			; defence ratio
	db	070			; quick ratio
	db	030			; special ability
	db	ISHI_TYPE
	db	JIMEN_TYPE
	db	045			; obtain ratio
	db	108			; experience value
	db	077h			; Monster yx size
	dw	monschr34		; BitImage data (front)
	dw	monschr34b		; BitImage data (back)
	db	033			; skill 1
	db	103			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10100000b, 00000011b, 00001000b, 11001110b
	db	10001010b, 11001000b, 00100010b, 00000000b

mons096$:
	db	096			; old number = 048
	db	060			; hit point(max)
	db	048			; attack point
	db	045			; defence ratio
	db	042			; quick ratio
	db	090			; special ability
	db	SP_TYPE
	db	SP_TYPE
	db	190			; obtain ratio
	db	102			; experience value
	db	066h			; Monster yx size
	dw	monschr48		; BitImage data (front)
	dw	monschr48b		; BitImage data (back)
	db	001			; skill 1
	db	095			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10110001b, 00000011b, 00001111b, 11110000b
	db	10000111b, 00111010b, 01000011b, 00000000b

mons097$:
	db	097			; old number = 129
	db	085			; hit point(max)
	db	073			; attack point
	db	070			; defence ratio
	db	067			; quick ratio
	db	115			; special ability
	db	SP_TYPE
	db	SP_TYPE
	db	075			; obtain ratio
	db	165			; experience value
	db	077h			; Monster yx size
	dw	monschr129		; BitImage data (front)
	dw	monschr129b		; BitImage data (back)
	db	001			; skill 1
	db	095			; skill 2
	db	050			; skill 3
	db	093			; skill 4
	db	000			; pttern of experience
	db	10110001b, 01000011b, 00001111b, 11110000b
	db	10000111b, 00111010b, 01000011b, 00000000b

mons098$:
	db	098			; old number = 078
	db	030			; hit point(max)
	db	105			; attack point
	db	090			; defence ratio
	db	050			; quick ratio
	db	025			; special ability
	db	WATER_TYPE
	db	WATER_TYPE
	db	225			; obtain ratio
	db	115			; experience value
	db	055h			; Monster yx size
	dw	monschr78		; BitImage data (front)
	dw	monschr78b		; BitImage data (back)
	db	145			; skill 1
	db	043			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10100100b, 00111111b, 00001000b, 11000000b
	db	00000010b, 00001000b, 00110110b, 00000000b

mons099$:
	db	099			; old number = 138
	db	055			; hit point(max)
	db	130			; attack point
